,Unnamed: 0,file,smiles
503,4266,10025253,C1(N(C(C(N1[H])([H])[H])([H])[H])[H])=S
504,4275,10019956,C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])C(=C(C(Cl)([H])[H])[H])[H]
506,4288,20182290,C=1(C(=C(C(=C(C1[H])[N+](=O)[O-])[H])[H])[H])S(=O)(=O)Cl
507,4295,20097203,C(C(=O)O[H])(N(C(=O)N([H])[H])[H])([H])[H]
514,4363,20208205,[O-][N+](=O)C1=C(C=2C(C(C(C2C(=C1[H])[H])([H])[H])([H])[H])([H])[H])[H]
515,4366,10016433,C(C(=C(C(C([H])([H])[H])(C([H])([H])[H])[H])C([H])([H])[H])[H])([H])([H])[H]
516,4388,20200592,ClC(C=1N=C(C(=C(C1[H])[H])[H])[H])([H])[H]
517,4389,20123550,C1(Br)=C(C(Br)=C(C([N+](=O)[O-])=C1[H])[H])O[H]
520,4432,60000019,C12(C(C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C2([H])[H])[H])=C([H])[H])([H])[H])([H])[H])[H]
521,4434,20040402,C1(=C(C(=C(C(=C1N([H])[H])Br)[H])[H])[H])Br
525,4488,20201396,O(C=1C=2C(C(=C(C1[H])[H])[H])=C(C(=C(C2[H])[H])[H])[H])C3=C(C=4C(C(=C3[H])[H])=C(C(=C(C4[H])[H])[H])[H])[H]
536,4608,20209341,BrC(F)(F)C(Br)([H])[H]
537,4633,19998,C(C(C(C(C(C(C(C(C(C(C(=O)O[H])([H])[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
539,4671,10021600,C=1(C(=C(C(=C(C1[H])[H])C(Br)([H])[H])[H])[H])C(OC(C([H])([H])[H])([H])[H])(OC(C([H])([H])[H])([H])[H])[H]
541,4684,20208506,O(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])C(=O)C([H])([H])[H]
544,4698,20143548,C1(=C(C(=C(C(=C1OC(C([H])([H])[H])([H])[H])[H])[N+](=O)[O-])OC(C([H])([H])[H])([H])[H])[H])[H]
545,4708,20031248,C=1(C(=C(C(=C(C1[H])[H])N(C(C(O[H])([H])[H])([H])[H])[H])[H])[H])[H]
548,4736,10011072,C(Br)(C(C(Br)([H])[H])([H])[H])([H])[H]
