,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
17252,17252,40046,[H]c1nc(C(=O)OC([H])([H])[H])c(C(=O)OC([H])([H])[H])c([H])c1[H],[H]c1nc(C(=O)OC([H])([H])[H])c(C(=O)OC([H])([H])[H])c([H])c1[H],[H]c1nc(C(=O)OC([H])([H])[H])c(C(=O)OC([H])([H])[H])c([H])c1[H]
17253,17253,40049,[H]c1sc(C(=O)C([H])([H])[H])c([H])c1C([H])([H])[H],[H]c1sc(C(=O)C([H])([H])[H])c([H])c1C([H])([H])[H],[H]c1sc(C(=O)C([H])([H])[H])c([H])c1C([H])([H])[H]
17254,17254,40053,[H]c1c([H])c([H])c2sc(C([H])([H])C#N)nc2c1[H],[H]c1c([H])c([H])c2sc(C([H])([H])C#N)nc2c1[H],[H]c1c([H])c([H])c2sc(C([H])([H])C#N)nc2c1[H]
17255,17255,40055,[H]OC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H],[H]OC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H],[H]OC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
17256,17256,40064,[H]C(F)(Cl)C([H])(Cl)Cl,[H]C(F)(Cl)C([H])(Cl)Cl,[H]C(F)(Cl)C([H])(Cl)Cl
17257,17257,40065,[H]OC(=O)c1c(O[H])c([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2c1[H],[H]OC(=O)c1c(O[H])c([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2c1[H],[H]OC(=O)c1c(O[H])c([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2c1[H]
17258,17258,40066,[H]OC(=O)C([H])(c1c([H])c([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2c1[H])C([H])([H])[H],[H]OC(=O)C([H])(c1c([H])c([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2c1[H])C([H])([H])[H],[H]OC(=O)C([H])(c1c([H])c([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2c1[H])C([H])([H])[H]
17259,17259,40070,[H]N([H])C(=O)C([H])(C([H])([H])[H])[N+]([H])([H])[H],[H]N([H])C(=O)C([H])(C([H])([H])[H])[N+]([H])([H])[H],[H]N([H])C(=O)C([H])(C([H])([H])[H])[N+]([H])([H])[H]
17260,17260,40071,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C([H])=C([H])[H],[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C([H])=C([H])[H],[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C([H])=C([H])[H]
17261,17261,40073,[H]Oc1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])O[H])c(O[H])c1[H],[H]Oc1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])O[H])c(O[H])c1[H],[H]Oc1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])O[H])c(O[H])c1[H]
17262,17262,40074,[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])C(=O)C([H])([H])C2([H])[H],[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])C(=O)C([H])([H])C2([H])[H],[H]c1c([H])c2c(c([H])c1OC([H])([H])[H])C(=O)C([H])([H])C2([H])[H]
17263,17263,40077,[H]c1c([H])c([H])c(C(=O)c2c([H])c(Cl)c([H])c([H])c2N([H])[H])c(Cl)c1[H],[H]c1c([H])c([H])c(C(=O)c2c([H])c(Cl)c([H])c([H])c2N([H])[H])c(Cl)c1[H],[H]c1c([H])c([H])c(C(=O)c2c([H])c(Cl)c([H])c([H])c2N([H])[H])c(Cl)c1[H]
17264,17264,40078,[H]c1sc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],[H]c1sc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],[H]c1sc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H]
17265,17265,40080,[H]Oc1c([H])c([H])c([H])c2c1-c1c([H])c([H])c([H])c([H])c1C2=O,[H]Oc1c([H])c([H])c([H])c2c1-c1c([H])c([H])c([H])c([H])c1C2=O,[H]Oc1c([H])c([H])c([H])c2c1-c1c([H])c([H])c([H])c([H])c1C2=O
17266,17266,40082,[H]c1c([H])c2c(c([N+](=O)[O-])c1[H])C(=O)N([H])C2=O,[H]c1c([H])c2c(c([N+](=O)[O-])c1[H])C(=O)N([H])C2=O,[H]c1c([H])c2c(c([N+](=O)[O-])c1[H])C(=O)N([H])C2=O
17267,17267,40083,[H]c1c([H])c(C([H])([H])[H])c(F)c([H])c1Cl,[H]c1c([H])c(C([H])([H])[H])c(F)c([H])c1Cl,[H]c1c([H])c(C([H])([H])[H])c(F)c([H])c1Cl
17268,17268,40085,[H]c1c([H])c(C(=O)OC([H])([H])[H])c(F)c([H])c1F,[H]c1c([H])c(C(=O)OC([H])([H])[H])c(F)c([H])c1F,[H]c1c([H])c(C(=O)OC([H])([H])[H])c(F)c([H])c1F
17269,17269,40090,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC(=O)C(Cl)(Cl)Cl,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC(=O)C(Cl)(Cl)Cl,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC(=O)C(Cl)(Cl)Cl
17270,17270,40092,[H]c1c(Cl)c(Cl)c([H])c2c1nc(C([H])([H])[H])n2C([H])([H])C([H])([H])[H],[H]c1c(Cl)c(Cl)c([H])c2c1nc(C([H])([H])[H])n2C([H])([H])C([H])([H])[H],[H]c1c(Cl)c(Cl)c([H])c2c1nc(C([H])([H])[H])n2C([H])([H])C([H])([H])[H]
17271,17271,40095,[H]Oc1c([H])c([H])c2c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c2c1[H],[H]Oc1c([H])c([H])c2c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c2c1[H],[H]Oc1c([H])c([H])c2c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c2c1[H]
17272,17272,40096,[H]c1c([H])c([N+](=O)[O-])c2c(=O)n([H])n([H])c(=O)c2c1[H],[H]c1c([H])c([N+](=O)[O-])c2c(=O)n([H])n([H])c(=O)c2c1[H],[H]c1c([H])c([N+](=O)[O-])c2c(=O)n([H])n([H])c(=O)c2c1[H]
17273,17273,40100,[H]OC(=O)c1c([H])c([H])c(C(F)(F)F)c([H])c1C(=O)O[H],[H]OC(=O)c1c([H])c([H])c(C(F)(F)F)c([H])c1C(=O)O[H],[H]OC(=O)c1c([H])c([H])c(C(F)(F)F)c([H])c1C(=O)O[H]
17274,17274,40101,[H]c1c([H])c(C([H])([H])C#N)c(F)c([H])c1F,[H]c1c([H])c(C([H])([H])C#N)c(F)c([H])c1F,[H]c1c([H])c(C([H])([H])C#N)c(F)c([H])c1F
17275,17275,40103,[H]c1c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([N+](=O)[O-])c1[H],[H]c1c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([N+](=O)[O-])c1[H],[H]c1c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([N+](=O)[O-])c1[H]
