,Unnamed: 0.1,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
13795,15349,15349,35931,[H]c1nc([H])c2c(c1[H])c1c([H])c([H])c([H])c(Cl)c1n2[H],,[H]c1nc([H])c2c(c1[H])c1c([H])c([H])c([H])c(Cl)c1n2[H]
13796,15350,15350,35937,[H]c1c([H])c([H])c(OC([H])([H])C([H])(Cl)C([H])([H])Cl)c([H])c1[H],,[H]c1c([H])c([H])c(OC([H])([H])C([H])(Cl)C([H])([H])Cl)c([H])c1[H]
13797,15351,15351,35938,[H]c1c([H])c([H])c2c(c1[H])c(SC([H])([H])[H])c([H])n2C([H])([H])[H],,[H]c1c([H])c([H])c2c(c1[H])c(SC([H])([H])[H])c([H])n2C([H])([H])[H]
13798,15352,15352,35940,[H]C([H])=C([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])OC([H])([H])C([H])([H])O1,,[H]C([H])=C([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])OC([H])([H])C([H])([H])O1
13799,15353,15353,35941,[H]C([H])=C1C([H])([H])C2([H])C(=O)C(Cl)(C(=O)OC([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C2([H])[H],,[H]C([H])=C1C([H])([H])C2([H])C(=O)C(Cl)(C(=O)OC([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C2([H])[H]
13800,15354,15354,35942,[H]OC1([H])C([H])=C(c2nc(C(=O)N([H])[H])c([H])s2)OC([H])([H])C1([H])O[H],,[H]OC1([H])C([H])=C(c2nc(C(=O)N([H])[H])c([H])s2)OC([H])([H])C1([H])O[H]
13801,15355,15355,35944,[H]c1c([H])c([H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],,[H]c1c([H])c([H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H]
13802,15356,15356,35946,[H]Oc1c(OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C2([H])O[H])c2c([H])c([H])c(=O)oc2c2c([H])c([H])oc12,,[H]Oc1c(OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C2([H])O[H])c2c([H])c([H])c(=O)oc2c2c([H])c([H])oc12
13803,15357,15357,35947,[H]OC([H])(c1nc(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],,[H]OC([H])(c1nc(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
13804,15358,15358,35948,[H]c1nc2c(c([H])c1C#N)C([H])([H])C([H])([H])C([H])([H])C2([H])[H],,[H]c1nc2c(c([H])c1C#N)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
13805,15360,15360,35950,[H]N(c1nc(-c2nonc2N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])no1)C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],,[H]N(c1nc(-c2nonc2N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])no1)C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
13806,15361,15361,35951,[H]OC(=O)C([H])(C(=C([H])F)c1c([H])c([H])c(F)c(O[H])c1[H])N([H])[H],,[H]OC(=O)C([H])(C(=C([H])F)c1c([H])c([H])c(F)c(O[H])c1[H])N([H])[H]
13807,15362,15362,35953,[H]OC([H])([H])C([H])([H])C12OC1(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2([H])[H],,[H]OC([H])([H])C([H])([H])C12OC1(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2([H])[H]
