,file,smiles
121,20230640,C1(=C(C(=C(C2=C1N=C(C3(O2)C(C3([H])[H])([H])[H])C(=O)OC([H])([H])[H])[H])[H])I)[H]
122,10009179,C(C(C(N1C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(N2C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
123,20237250,C1(C(=C(SC(N1[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])SC([H])([H])[H])C(=O)N([H])[H])=O
124,20026861,C1(C(C(C(C1(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])=O
125,60004203,C(C(=C(C(C(C1(C([H])([H])[H])C2(C(C([H])([H])[H])(C(=C([H])[H])C(C(C2([H])[H])([H])[H])([H])[H])C(C(C1(C([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])(O[H])([H])[H]
127,76169,C=12N(C(SN1)=NC([H])([H])[H])C(C(C2([H])[H])([H])[H])([H])[H]
130,75325,C=1(C(=[N+](C(=C(N1)C(=O)OC([H])([H])[H])[H])C([H])([H])[H])[H])[H]
133,10023507,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])C#C[H])[H])[H])[H])[H])[H]
134,20028548,C1(C2(C(C(C(C1([H])[H])([H])[H])([H])[H])(O2)C([H])([H])[H])[H])([H])[H]
135,10018786,C=1(C(=C(C(=C(C1[H])[H])C#N)[H])C([H])([H])[H])C([H])([H])[H]
138,10016096,N1(C(C(C(C(C1(C([H])([H])[H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H]
139,20212803,C1(=C(C(=C(C2=C1C(C(OC(C(C(C3=C(C(=C2O3)[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])=O)([H])[H])O[H])[H])O[H])[H]
140,20181331,C(C#CC(C(N([H])[H])(C(=O)OC([H])([H])[H])C(C(=C([H])[H])[H])([H])[H])([H])[H])([H])([H])[H]
143,20051751,C1(=NC(=C(N=C1Cl)Cl)[H])[H]
148,20122846,C1(N(C(C(C1([H])[H])([H])[H])(C#N)[H])C(=O)OC([H])([H])[H])(C(O[H])([H])[H])[H]
149,10018448,C1(=C(N(C(N(C1=O)[H])=O)C2(OC(C3(C2(O[Si](C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])OC(C(C3([H])[H])([H])[H])=O)(C(O[Si](C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H])[H])[H]
151,20028165,C=1(C(=C(N=C(C1[H])N([H])[H])N([H])[H])[H])[H]
153,20180927,C1(=C(C(=C(C(=C1OC([H])([H])[H])OC(C(=C([H])[H])C(=O)OC([H])([H])[H])([H])[H])[H])C(=O)OC([H])([H])[H])[H])[H]
156,30100669,C1(=NC(C(O1)(C([H])([H])[H])C([H])([H])[H])=S)C=2C(=C(C(=C(C2[H])[H])OC([H])([H])[H])[H])[H]
158,89594,C1(C(C(C(C2(C1(C(C(C(C([H])([H])[H])(N2[H])[H])([H])[H])([H])[H])[H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H]
159,60016202,C(N(F)F)(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
160,20181302,C12=C(OC(C3=C1C4=C(N3[H])C(=O)OC5=C4C(=C(C(=C5[H])O[H])O[H])[H])=O)C(=C(C(=C2[H])O[H])O[H])[H]
162,20180370,C1(=C(C(=C(C2=C1C(C(=C(C2=O)N([H])[H])C(=O)C([H])([H])[H])=O)O[H])[H])[H])[H]
165,10021225,C1(=C(C(=C(C(=C1[H])N(C(=O)N(C=2C(=C(C(=C(C2[H])[H])O[H])[H])[H])[H])[H])F)[H])[H])[N+](=O)[O-]
167,90697,C1(=C(C2=C(O1)C(=C(N2C(=O)C([H])([H])[H])[H])[H])[H])[H]
168,20242122,C1(=C(C(=C(C2=C1C(N(C2=O)C([H])([H])[H])(O[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])N([H])[H])[H])[H])[H]
170,10018943,C1(=C(C(=C(C2=C1C(C(N3C2(C(C4(C(C3([H])[H])(C(C(C(N4S(C([H])([H])[H])(=O)=O)([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])OC([H])([H])[H])[H]
171,20175526,N12C3(C(C(C1([H])[H])(OS(=O)(=O)[O-])[H])(O[H])O[H])C(N(C(N3[H])=[N+]([H])[H])[H])(C(N(C2=[N+]([H])[H])O[H])(C(OC(=O)N(S(=O)(=O)[O-])[H])([H])[H])[H])[H]
175,20050126,C1(OC(C(C1([H])[H])([H])[H])([H])[H])(O[H])C([H])([H])[H]
176,10008808,C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(O[H])([H])[H]
177,30100230,C(S(=O)SC([H])([H])[H])(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H]
178,20227349,C1(=C(C(=C(C(=C1[H])C(=O)C(I)(C(F)(C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])[H])[H])[H])[H])Br)[H]
183,20191988,C1(C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H])(C(C(=O)OC(C([H])([H])[H])([H])[H])([H])[H])C(C(=O)OC(C([H])([H])[H])([H])[H])([H])[H]
