Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C(#CC(C([H])([H])[H])(C([H])([H])[H])[H])[H],C#CC(C)C,nmrdb,10005630
C(C#C[H])(F)(F)F,C#CC(F)(F)F,nmrdb,20133286
C(O[H])(C#C[H])(C#C[H])[H],C#CC(O)C#C,nmrdb,20212770
C1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])(O[H])C#C[H],C#CC1(O)CCCC1,nmrdb,90260
C1(C(C(C(C(C1([H])[H])([H])[H])(O[H])C#C[H])([H])[H])([H])[H])([H])[H],C#CC1(O)CCCCC1,nmrdb,10017101
C1(OC(C(=C1C([H])([H])[H])C#C[H])([H])[H])=O,C#CC1=C(C)C(=O)OC1,nmrdb,20146538
C1(OC(C(=C1C#C[H])C([H])([H])[H])([H])[H])=O,C#CC1=C(C)COC1=O,nmrdb,20146539
C1(C(C(C(C(=C1C#C[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C#CC1=CCCCC1,nmrdb,10016506
C1(C(C1([H])[H])([H])[H])(C#C[H])[H],C#CC1CC1,nmrdb,10023443
C(#CC(=O)[H])[H],C#CC=O,nmrdb,20181566
C(#CC(C([H])([H])[H])([H])[H])[H],C#CCC,nmrdb,10005628
C(#CC(C(=O)OC([H])([H])[H])([H])[H])[H],C#CCC(=O)OC,nmrdb,20028577
C(C(C#C[H])([H])[H])(C([H])([H])[H])(C([H])([H])[H])[H],C#CCC(C)C,nmrdb,20111979
C([H])#CC(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])([H])[H],C#CCC1CCCCC1,nmrdb,10021652
C(#CC(C(C([H])([H])[H])([H])[H])([H])[H])[H],C#CCCC,nmrdb,10005629
C(C(C#C[H])([H])[H])(C#C[H])([H])[H],C#CCCC#C,nmrdb,20111973
C(C(C(C#C[H])([H])[H])([H])[H])(C([H])([H])[H])(C([H])([H])[H])[H],C#CCCC(C)C,nmrdb,20199019
C(#CC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCC,nmrdb,10005631
C(#CC(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCC(=O)OC,nmrdb,10020488
C(#CC(C(C(C(=O)[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCC=O,nmrdb,20180287
C(#CC(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCCC,nmrdb,10005634
C(#CC(C(C(C(C#C[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],C#CCCCCC#C,nmrdb,10016497
C(C(C(C(C(C(C#C[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],C#CCCCCCC,nmrdb,20031906
C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C#C[H])([H])[H])([H])[H],C#CCCCCCCC,nmrdb,8405
